direction,layer,pattern,mean_z_mean,mean_z_ci_lo,mean_z_ci_hi
or->and,16,FF,-0.10398341566324235,-0.24751816724716605,0.03955133592068136
or->and,17,FF,0.17593004405498505,0.06492661059260814,0.286933477517362
or->and,18,FF,0.3493143796920776,0.24567358803079203,0.4529551713533632
or->and,19,FF,0.47105735540390015,0.30970565844375003,0.6324090523640502
or->and,20,FF,0.34953092634677885,0.18512259862982527,0.5139392540637324
or->and,21,FF,0.7589221239089966,0.6049383229165273,0.9129059249014659
or->and,22,FF,0.6808040499687195,0.5410528601760499,0.820555239761389
or->and,23,FF,0.6758920311927795,0.5159543288725481,0.8358297335130109
or->and,24,FF,0.5402833878993988,0.3607156149706805,0.7198511608281171
or->and,25,FF,0.5604019343852997,0.3442767516824459,0.7765271170881536
or->and,26,FF,0.6437301099300384,0.3630661574527857,0.9243940624072912
or->and,27,FF,0.6271834671497345,0.33452098368718547,0.9198459506122836
