resample,b2_minus_b1_crossover_layer,ft_minus_tf_crossover_layer
619,17.986852801319657,18.382178877557287
620,17.90063399242028,18.05419355965544
621,17.730350983336923,17.78627577238701
622,18.030043521212754,18.39932501014009
623,17.933491530762254,18.18582441883594
624,17.808749402535,17.515194013885854
625,17.710237864724256,18.198003387104425
626,18.10511352491519,17.728369359773556
627,18.06568755283583,18.05554598905206
628,17.981426159030917,18.498284344523967
629,18.188910049639514,18.33896453962355
630,17.769520773757066,18.61690765132988
631,17.99692919840797,18.09279127796662
632,18.01364644654104,18.126682217552577
633,17.894599610076185,18.297698975096928
634,18.10706410558772,18.031924497257464
635,17.989422226994456,18.227892564146053
636,18.217282677011653,18.350981379694453
637,18.098746726536504,18.440013238505255
638,18.06443103679667,18.43740019855762
639,17.713392106082075,17.93056460451149
640,18.543897149535212,18.0521844507759
641,18.07249979724028,17.798493334880664
642,17.815014776218113,18.227154717877603
643,18.067417676635422,18.07799572800266
644,18.07928149475273,18.18473175311984
645,18.1269750097505,17.76418396094338
646,18.203513663744584,18.078615134214473
647,17.822970748060413,18.119574520521073
648,18.05161696944403,18.04354136530586
649,18.222469420716422,18.204180170730204
650,18.248435571791465,18.356444773639083
651,18.057602449540575,18.194261784812454
652,17.990618768623108,17.9860638257956
653,18.065061179108206,18.1675587834474
654,17.89823050283132,18.44845586986902
655,18.243276902844595,18.16056209639454
656,18.026914971392483,17.952343214594197
657,18.213399480435832,18.261739112030828
658,18.370121470360186,18.117479047827363
659,17.652480672113942,18.086087496678275
660,17.927358581289077,17.82105305295982
661,17.900662406134174,17.993831515589136
662,17.88488064925489,17.87712526236694
663,18.005649928243354,18.300207595173514
664,18.381921632982696,18.12345546975242
665,18.249369549880438,18.20579954660184
666,18.396206034483654,18.20188136828677
667,18.198716687580962,18.0473411074121
668,18.17865954936545,18.135610774724494
669,17.817748629349673,18.18568704367903
670,17.834550066953568,18.104215552181078
671,17.81299740099681,18.39515716010375
672,18.121502648763705,18.234714842127623
673,18.038014354376546,17.910160686841916
674,17.754901329736732,18.49763983199756
675,17.994138305437136,18.09466463965507
676,18.149708262576112,18.077478897615322
677,17.724084868012604,17.888008992060502
678,17.913335442533615,18.25597829599051
679,18.01996449157265,18.271277145059965
680,18.128239970751768,18.427982111302683
681,18.200467519493444,18.217687116379256
682,17.719689693984225,18.07034170309331
683,18.17229015185495,18.35596907227172
684,18.074700765209496,17.739757694184096
685,18.10493407223964,18.090405814351787
686,18.040508413558907,17.78817710215831
687,18.122731723039976,18.20260540676013
688,17.83604734251516,18.000896412226773
689,18.204941995584097,18.156129877226142
690,17.776625616277144,17.723502123229004
691,17.848283922952763,18.169819271420725
692,18.13058645956022,17.519507900317908
693,18.358532961840968,18.064858453666492
694,17.878662547538987,18.476086745156362
695,18.09558572191679,18.27789617246685
696,18.020286264188574,18.14081322659803
697,18.10295044609902,18.272564064084527
698,17.682951258377646,18.18030604229744
699,17.81271241449305,17.910444647461272
700,18.127311386788573,18.318875389616974
701,17.891059748985167,18.392973024858552
702,17.647296780408,17.904931256418006
703,18.21592435908115,18.360081503338844
704,18.303820191862968,18.308321910402434
705,18.026101771080715,18.07971062560592
706,18.04804480475192,18.041429051158875
707,18.08294759695258,17.72763913088614
708,17.830145838465707,18.106804689899146
709,18.175334495023602,18.091822140132123
710,18.30329279428265,17.833976850350478
711,17.85333259609514,18.50454607811423
712,18.17798896913209,18.278172427961195
713,17.821633932575136,17.98859460528179
714,18.153658697216866,18.433553709997213
715,17.879306869041706,18.04799144151809
716,17.723344324572604,17.742501971538747
717,17.74249750339813,18.465409570930994
718,17.984035452359514,18.160226747224787
719,18.060539383446145,18.392664398602104
720,18.018116488639066,18.14940219507372
721,18.106377931133945,18.316083016723933
722,18.02384157104021,18.432474658645237
723,18.11030441822858,18.323967844883697
724,17.850163311637566,18.159642898668366
725,17.88403049539146,17.845324716746834
726,17.926888980526705,18.46551620789919
727,17.65606855386977,17.772882869788894
728,17.86464816359024,18.194127226977628
729,18.06389452046906,18.540667039118848
730,18.19345173895652,17.72087163167381
731,17.8853552475504,18.21058729297158
732,17.955163762001785,18.326199842141907
733,17.931895860692766,17.76162800697186
734,17.782064329392796,18.205556185992737
735,17.590341403833804,18.333883738070057
736,18.06590308536804,18.13633045260612
737,18.165715500827663,18.163051653396696
738,17.802472691840872,17.890107229558023
739,17.794300432218794,18.110048761594076
740,17.937035173052415,18.08978109085249
741,18.05171519723484,18.36286696335864
742,17.723305392102503,18.268961591970573
743,17.83551806217787,18.246533265724345
744,17.8146153767512,18.328857835084502
745,18.240104932153358,18.136777729723935
746,18.153924111768887,18.480770635150574
747,17.787010895582128,17.90296387370955
748,18.353123445277156,17.973421731529275
749,18.062711351646875,17.986609746811496
750,18.280161368455712,18.091266645933665
751,17.904703612071764,18.256434168652234
752,18.054472065931567,18.243910513118987
753,17.775270842415694,18.213180585001606
754,18.1394928155208,18.240898323469438
755,18.23400604396599,18.084728956430485
756,17.836503006420973,18.314223406793662
757,17.733301514468035,18.46853815271059
758,17.96524464666888,18.279082051086235
759,18.368823120988097,18.062824224634056
760,18.30205113942691,18.74201414598238
761,18.30045496001461,18.31118496703548
762,18.0265410582062,18.24469640551236
763,18.036804542658906,18.754824351188013
764,17.977696219161324,18.338021647221712
765,17.745967940276927,17.989659889425184
